region,period,community_id,n_words,top_words_preview,label,lane,origin,inherited_from
american,1690-1710,2,506,anguish; malicious; groans; sensual; odious; fury; atheism; hellish; calamities; wounds,Divine Judgment & Darkness,"Religion, Theology & the Church",inherited,1670-1690#3
american,1690-1710,13,20,less; otherwise; wonder; lower; harm; farther; worse; sooner; longer; rather,Comparative Adjectives & Adverbs,Structural / Uncertain,human,
american,1690-1710,6,465,presbyterian; practices; owen; authors; paragraph; dr; printed; heresies; assertion; passages,Theological Argument & Scholarly Writing,"Books, Learning & Scholarship",inherited,1670-1690#6
american,1690-1710,4,495,propose; oblige; advise; grieve; expose; submit; assist; perswade; justifie; engage,Verbs of Belief & Doubt,Structural / Uncertain,inherited,1670-1690#2
american,1690-1710,3,505,rocks; brimstone; tempest; snow; arrows; mountains; hills; wood; oyl; woods,Psalms of Praise & Deliverance,"Religion, Theology & the Church",inherited,1670-1690#1
american,1690-1710,9,250,colonies; massachusetts; bristol; provinces; companies; islands; castle; bay; boat; troops,"Colonies, Provinces & Territories",Geography & Territory,human,
american,1690-1710,5,476,confessed; affirmed; asserted; acknowledged; deceived; proved; quoted; ruined; allowed; improved,"Argument, Proof & Rebuttal",Rhetoric & Persuasion,inherited,1670-1690#9
american,1690-1710,7,330,throw; thrown; gott; carryed; dependence; broke; turn'd; ran; thrust; melt,Verbs of Violent Motion,Structural / Uncertain,inherited,1670-1690#8
american,1690-1710,12,181,denies; affirms; calls; calleth; counts; giveth; expresseth; declares; teaches; shews,Archaic Third-Person Verb Forms,Structural / Uncertain,inherited,1670-1690#10
american,1710-1730,1,886,idea; serviceable; internal; activity; sobriety; introduction; essential; agency; industry; exquisite,"Calling, Obedience & Divine Ordinance","Religion, Theology & the Church",inherited,1690-1710#0
american,1710-1730,11,155,october; anno; fifteen; nine; sixty; sixteen; september; thirty; month; fifty,Colonial Settlement Narrative,"History, Genealogy, Nobility & Kinship",inherited,1690-1710#11
american,1710-1730,2,738,luxury; intemperance; dangerous; unnatural; vicious; fraud; inclinations; intolerable; aggravated; vices,Divine Judgment & Darkness,"Religion, Theology & the Church",inherited,1690-1710#2
american,1710-1730,9,311,tobacco; cash; quantity; commodity; yearly; selling; commodities; ships; corn; sugar,Civil & Ecclesiastical Governance,"Government, Law & Administration",inherited,1690-1710#1
american,1710-1730,12,137,xxiii; xx; xvi; xix; xiii; xxviii; xxv; xii; zech; xxii,Biblical Book Abbreviations,Structural / Uncertain,inherited,1690-1710#10
american,1710-1730,4,638,recommend; oblige; expose; refer; imagine; compel; discover; commend; reduce; propose,Verbs of Belief & Doubt,Structural / Uncertain,inherited,1690-1710#4
american,1710-1730,0,906,deacons; capacities; apostolick; tempers; diocesan; considerations; preface; acknowledgments; qualities; essay,Theological Argument & Scholarly Writing,"Books, Learning & Scholarship",inherited,1690-1710#6
american,1710-1730,5,484,coals; rocks; tempest; thick; hail; smoke; brass; waves; rivers; furnace,Psalms of Praise & Deliverance,"Religion, Theology & the Church",inherited,1690-1710#3
american,1710-1730,3,655,observ'd; asserted; maintained; consecrated; interpreted; examined; govern'd; overtaken; ordain'd; cruelly,"Argument, Proof & Rebuttal",Rhetoric & Persuasion,inherited,1690-1710#5
american,1710-1730,6,451,lieut; massachusetts; edward; robert; smith; cotton; consisting; francis; cornelius; brown,Personal Names & Titles,Structural / Uncertain,inherited,1690-1710#8
american,1710-1730,8,320,boat; islands; schooner; hunting; shot; gun; capt; harbour; boats; castle,"Colonies, Provinces & Territories",Geography & Territory,inherited,1690-1710#9
american,1710-1730,7,368,threw; reflecting; turn'd; depended; thrust; throw; fired; thrown; pull; ran,Verbs of Violent Motion,Structural / Uncertain,inherited,1690-1710#7
american,1710-1730,13,127,lib; ab; quae; dei; cap; epist; cum; sunt; sed; qui,Comparative Adjectives & Adverbs,Structural / Uncertain,inherited,1690-1710#13
american,1710-1730,10,219,declares; refers; applies; mentions; expresseth; denies; owns; loveth; asserts; owes,Archaic Third-Person Verb Forms,Structural / Uncertain,inherited,1690-1710#12
american,1710-1730,14,60,derived; cleansed; banished; excluded; abstain; freed; arising; collected; released; derive,Verbs of Derivation & Removal,Structural / Uncertain,human,
american,1730-1750,1,1022,constancy; blessedness; glories; excellence; sanctity; vertuous; transcendent; fervent; display; physical,"Calling, Obedience & Divine Ordinance","Religion, Theology & the Church",inherited,1710-1730#1
american,1730-1750,10,318,september; november; nov; iune; sept; feb; cambridge; october; gloucester; salem,Colonial Settlement Narrative,"History, Genealogy, Nobility & Kinship",inherited,1710-1730#11
american,1730-1750,4,719,persuade; refer; expose; terrify; reduce; recommend; explain; damn; constrain; tempt,Verbs of Belief & Doubt,Structural / Uncertain,inherited,1710-1730#4
american,1730-1750,0,1027,unnatural; sensuality; extravagance; intemperance; avarice; irreligion; malignant; profaneness; sloth; stupid,Divine Judgment & Darkness,"Religion, Theology & the Church",inherited,1710-1730#2
american,1730-1750,13,87,square; species; surface; distances; wheel; serjeants; drummers; regiment; rear; files,Comparative Adjectives & Adverbs,Structural / Uncertain,inherited,1710-1730#13
american,1730-1750,15,29,stronger; faster; worse; wiser; weaker; sooner; brighter; sweeter; easier; better,Comparative Adjectives & Adverbs,Structural / Uncertain,human,
american,1730-1750,5,669,manufactures; secretary; treasurer; canons; partners; governments; fees; jurisdiction; ecclesiastical; bishops,Civil & Ecclesiastical Governance,"Government, Law & Administration",inherited,1710-1730#9
american,1730-1750,7,413,iames; robert; lewis; clark; portugal; francis; jones; colman; thomas; edward,Personal Names & Titles,Structural / Uncertain,inherited,1710-1730#6
american,1730-1750,6,498,bp; lib; paragraph; lond; assertion; edit; vols; octavo; interpretation; preface,Theological Argument & Scholarly Writing,"Books, Learning & Scholarship",inherited,1710-1730#0
american,1730-1750,3,808,discovered; smitten; freed; declared; drowned; demonstrated; slew; questioned; proved; explained,"Argument, Proof & Rebuttal",Rhetoric & Persuasion,inherited,1710-1730#3
american,1730-1750,9,329,newfoundland; islands; africa; fort; plymouth; mexico; colonies; west; forts; india,"Colonies, Provinces & Territories",Geography & Territory,inherited,1710-1730#8
american,1730-1750,11,260,declares; asserts; represents; intimates; beholds; loveth; shews; shows; heareth; convinces,Archaic Third-Person Verb Forms,Structural / Uncertain,inherited,1710-1730#10
american,1730-1750,8,399,drove; reflecting; thrown; broke; rush; turn'd; brake; reflected; hung; driven,Verbs of Violent Motion,Structural / Uncertain,inherited,1710-1730#7
american,1730-1750,2,935,skies; sack; oysters; horrors; butter; sky; boiling; roses; nutmeg; grated,Psalms of Praise & Deliverance,"Religion, Theology & the Church",inherited,1710-1730#5
american,1730-1750,12,123,xxiv; xix; xxii; xvi; xvii; xxvi; xx; xv; jeremiah; xxi,Biblical Book Abbreviations,Structural / Uncertain,inherited,1710-1730#12
american,1730-1750,14,81,enthusiast; abstract; unlimited; habitual; inch; emblem; acknowledgment; unbeliever; addition; invariable,Verbs of Derivation & Removal,Structural / Uncertain,inherited,1710-1730#14
american,1750-1770,16,170,friday; december; february; sept; september; october; april; june; thirty; tuesday,Colonial Settlement Narrative,"History, Genealogy, Nobility & Kinship",inherited,1730-1750#10
american,1750-1770,7,591,fortitude; rectitude; excellence; manifestations; manly; perception; disinterested; fidelity; unshaken; bravery,"Calling, Obedience & Divine Ordinance","Religion, Theology & the Church",inherited,1730-1750#1
american,1750-1770,4,734,payment; fees; certificate; certificates; assistants; bail; wares; sheriffs; defendant; affidavit,Civil & Ecclesiastical Governance,"Government, Law & Administration",inherited,1730-1750#5
american,1750-1770,8,548,disagreeable; invidious; delicate; absurd; imprudent; painful; ridiculous; sublime; intolerable; striking,Evaluative & Aesthetic Adjectives,Structural / Uncertain,human,
american,1750-1770,11,365,proposition; relied; insisting; assertion; reflecting; obligatory; preface; depended; rely; insisted,Verbs of Derivation & Removal,Structural / Uncertain,inherited,1730-1750#14
american,1750-1770,17,38,heavier; fewer; larger; dearer; stronger; plainer; worse; cheaper; harder; wiser,Comparative Adjectives & Adverbs,Structural / Uncertain,inherited,1730-1750#15
american,1750-1770,9,533,peters; moore; jun; logan; andrew; hugh; roger; hutchinson; hon; allen,Personal Names & Titles,Structural / Uncertain,inherited,1730-1750#7
american,1750-1770,3,770,tempers; allies; passages; sects; qualities; modern; considerations; precepts; presbyterian; texts,Theological Argument & Scholarly Writing,"Books, Learning & Scholarship",inherited,1730-1750#6
american,1750-1770,10,401,eastward; canso; africa; montreal; ontario; banks; quebec; easton; louisbourg; newfoundland,"Colonies, Provinces & Territories",Geography & Territory,inherited,1730-1750#9
american,1750-1770,5,630,prompt; conform; impute; expose; incline; refer; recommend; sooth; suggest; discover,Verbs of Belief & Doubt,Structural / Uncertain,inherited,1730-1750#4
american,1750-1770,12,324,threw; ran; blown; pulled; drove; throw; beat; pulling; pull; turn'd,Verbs of Violent Motion,Structural / Uncertain,inherited,1730-1750#8
american,1750-1770,1,788,strengthened; abused; covered; printed; cover'd; released; clothed; handled; weakened; shewn,"Argument, Proof & Rebuttal",Rhetoric & Persuasion,inherited,1730-1750#3
american,1750-1770,0,863,powder'd; camomile; flowers; butter; boil'd; bag; expels; vinegar; yellow; bladder,Psalms of Praise & Deliverance,"Religion, Theology & the Church",inherited,1730-1750#2
american,1750-1770,2,773,skies; brow; groves; beauteous; fierce; shade; dire; charming; throng; raging,Comparative Adjectives & Adverbs,Structural / Uncertain,inherited,1730-1750#13
american,1750-1770,13,298,owns; applies; mentions; esteems; asserts; inspires; giveth; supposes; loveth; intimates,Archaic Third-Person Verb Forms,Structural / Uncertain,inherited,1730-1750#11
american,1750-1770,6,624,intemperance; inhuman; profaneness; rage; perfidious; fury; avarice; irreligious; cruelty; uncleanness,Divine Judgment & Darkness,"Religion, Theology & the Church",inherited,1730-1750#0
american,1750-1770,15,218,matth; xviii; isa; luk; xix; xxv; xxii; galatians; exod; xvi,Biblical Book Abbreviations,Structural / Uncertain,inherited,1730-1750#12
american,1750-1770,14,249,haberdashery; poems; poetry; cwt; bales; lb; cambricks; essays; lib; geography,Merchandise & Book-Trade Advertising,"Trade, Finance & Commerce",human,
american,1770-1790,17,63,sixty; eighty; fifteen; thirty; seventy; sixteen; fourteen; forty; eight; seventeen,Cardinal Numbers,Structural / Uncertain,human,
american,1770-1790,8,792,magnanimity; firmness; persevering; anxiety; circumcision; sanctification; manifestation; perfections; steadiness; constancy,"Calling, Obedience & Divine Ordinance","Religion, Theology & the Church",inherited,1750-1770#7
american,1770-1790,4,972,inhuman; illiberal; unruly; unjustifiable; insolent; turbulent; subtile; unfavourable; stupid; malicious,Evaluative & Aesthetic Adjectives,Structural / Uncertain,inherited,1750-1770#8
american,1770-1790,1,1322,inlet; deputies; insisting; senators; adjective; proposition; propositions; angel's; legislation; infringement,Verbs of Derivation & Removal,Structural / Uncertain,inherited,1750-1770#11
american,1770-1790,18,53,sweeter; quicker; lighter; thicker; safer; oftener; faster; older; heavier; wiser,Comparative Adjectives & Adverbs,Structural / Uncertain,inherited,1750-1770#17
american,1770-1790,16,174,september; sept; thursday; february; november; april; random; nineteenth; shudder; october,Colonial Settlement Narrative,"History, Genealogy, Nobility & Kinship",inherited,1750-1770#16
american,1770-1790,3,1009,suggest; conform; crush; waft; restrain; prompt; expose; refer; discourage; dispossess,Verbs of Belief & Doubt,Structural / Uncertain,inherited,1750-1770#5
american,1770-1790,6,872,rapine; merciless; unrelenting; levity; debauchery; unprovoked; venality; sensuality; malignity; hellish,Divine Judgment & Darkness,"Religion, Theology & the Church",inherited,1750-1770#6
american,1770-1790,0,1854,charm'd; vales; pensive; billows; wakes; azure; roll'd; purple; glows; verdure,Comparative Adjectives & Adverbs,Structural / Uncertain,inherited,1750-1770#2
american,1770-1790,2,1053,demonstrated; benefited; crushed; murdered; referred; unacquainted; explained; devoured; augmented; relieved,"Argument, Proof & Rebuttal",Rhetoric & Persuasion,inherited,1750-1770#1
american,1770-1790,14,308,maid; jerome; gibb; flora; girl; antonio; marquis; humphry; boy; beau,Theological Argument & Scholarly Writing,"Books, Learning & Scholarship",inherited,1750-1770#3
american,1770-1790,9,685,handkerchief; newport; worcester; salem; missisippi; huron; knife; cambridge; portsmouth; neck,"Colonies, Provinces & Territories",Geography & Territory,inherited,1750-1770#10
american,1770-1790,7,836,jun; nathaniel; richardson; williams; walker; jonathan; esquire; fisher; parker; livingston,Personal Names & Titles,Structural / Uncertain,inherited,1750-1770#9
american,1770-1790,10,436,turn'd; throwing; thrust; look'd; drive; pulled; draws; rode; rides; blown,Verbs of Violent Motion,Structural / Uncertain,inherited,1750-1770#12
american,1770-1790,5,878,sliced; stalks; parsley; yellow; nutmeg; slices; shells; ice; walnut; grated,Psalms of Praise & Deliverance,"Religion, Theology & the Church",inherited,1750-1770#0
american,1770-1790,12,336,shipping; commodities; fisheries; payment; payable; funds; wares; specie; fees; sale,Civil & Ecclesiastical Governance,"Government, Law & Administration",inherited,1750-1770#4
american,1770-1790,13,332,understands; giveth; explains; hates; considers; exposes; loveth; exalts; allows; knoweth,Archaic Third-Person Verb Forms,Structural / Uncertain,inherited,1750-1770#13
american,1770-1790,11,403,putrid; bitters; vomiting; astringent; nausea; cooling; urine; intestines; gum; emetics,Merchandise & Book-Trade Advertising,"Trade, Finance & Commerce",inherited,1750-1770#14
american,1770-1790,15,226,daniel; matth; jer; chron; matthew; deut; joshua; jeremiah; ezek; isa,Biblical Book Abbreviations,Structural / Uncertain,inherited,1750-1770#15
american,1770-1790,19,17,wouldst; shouldst; wast; seest; mayst; may'st; know'st; didst; canst; wouldest,Second-Person Verb Forms,Structural / Uncertain,human,
american,1790-1810,14,237,dec; sixty; termination; nov; eleventh; feb; fourteen; november; dated; thirty,Colonial Settlement Narrative,"History, Genealogy, Nobility & Kinship",inherited,1770-1790#16
american,1790-1810,4,1589,managers; payments; payment; sales; certified; judiciary; statute; securities; funds; surplus,Verbs of Derivation & Removal,Structural / Uncertain,inherited,1770-1790#1
american,1790-1810,17,76,hotter; lighter; quicker; bigger; swifter; heavier; firmer; broader; sweeter; stronger,Comparative Adjectives & Adverbs,Structural / Uncertain,inherited,1770-1790#18
american,1790-1810,1,1957,unmanly; revengeful; turbulent; forcible; softness; outrageous; gentleness; arrogant; atrocious; rapturous,Evaluative & Aesthetic Adjectives,Structural / Uncertain,inherited,1770-1790#4
american,1790-1810,3,1845,essays; chemistry; vo; poems; publications; revelations; aristotle; abbe; vols; positions,"Calling, Obedience & Divine Ordinance","Religion, Theology & the Church",inherited,1770-1790#8
american,1790-1810,6,1307,rov; waldron; fois; eh; lucy; sim; floretta; foix; mastich; eleazar,Theological Argument & Scholarly Writing,"Books, Learning & Scholarship",inherited,1770-1790#14
american,1790-1810,5,1587,soothed; characterized; damped; swayed; tormented; benefited; tinged; exempted; wrested; objected,"Argument, Proof & Rebuttal",Rhetoric & Persuasion,inherited,1770-1790#2
american,1790-1810,7,1258,hudson; salem; labrador; ipswich; lakes; darius; amsterdam; quebec; newfoundland; manchester,"Colonies, Provinces & Territories",Geography & Territory,inherited,1770-1790#9
american,1790-1810,11,878,archibald; dickinson; harrison; baker; nathaniel; palmer; jones; scott; caleb; stephens,Personal Names & Titles,Structural / Uncertain,inherited,1770-1790#7
american,1790-1810,10,1012,attach; expose; refer; impute; conform; tempt; advert; provoke; accommodate; rob,Verbs of Belief & Doubt,Structural / Uncertain,inherited,1770-1790#3
american,1790-1810,13,684,discovers; calleth; loveth; perceives; deprives; obliges; imparts; forsakes; considers; softens,Archaic Third-Person Verb Forms,Structural / Uncertain,inherited,1770-1790#13
american,1790-1810,12,760,jumped; pulled; relied; pulls; stepping; pulling; thrust; rode; relying; dash,Verbs of Violent Motion,Structural / Uncertain,inherited,1770-1790#10
american,1790-1810,0,2288,verdant; dewy; bow'rs; drear; wither'd; flow'ry; orient; flow'rs; rosy; heav'nly,Comparative Adjectives & Adverbs,Structural / Uncertain,inherited,1770-1790#0
american,1790-1810,2,1938,almonds; geese; lemon; sorrel; hickory; pork; ducks; mace; pounded; nutmeg,Psalms of Praise & Deliverance,"Religion, Theology & the Church",inherited,1770-1790#5
american,1790-1810,8,1167,insatiate; anguish; minions; legions; hypocrisy; baseness; effeminacy; disorganizing; timidity; slanders,Divine Judgment & Darkness,"Religion, Theology & the Church",inherited,1770-1790#6
american,1790-1810,9,1061,spasm; expectoration; spasms; diarrhoea; colic; clammy; catarrh; sulphur; vitriol; viscid,Merchandise & Book-Trade Advertising,"Trade, Finance & Commerce",inherited,1770-1790#11
american,1790-1810,15,202,impostor; idiot; infraction; aqueous; usurper; astregal; accomplice; infinity; inventory; inmate,Cardinal Numbers,Structural / Uncertain,inherited,1770-1790#17
american,1790-1810,18,42,doest; shouldst; would'st; makest; wouldest; sayest; mightest; wouldst; thinkest; couldst,Second-Person Verb Forms,Structural / Uncertain,inherited,1770-1790#19
american,1790-1810,16,171,ezekiel; isaiah; xxxiii; matth; chron; jeremiah; isai; xxxiv; xviii; xlv,Biblical Book Abbreviations,Structural / Uncertain,inherited,1770-1790#15
